country,state,city,location_x,location_y
United States,Colorado,Colorado Springs,-104.81468,38.937716
United States,Alabama,Mobile,-88.045015,30.69035
United States,Illinois,Galena,-90.31353,42.404443
United States,Minnesota,Plymouth,-93.473419,44.997274
United States,North Carolina,Durham,-78.901856,36.000559
United States,New York,Webster,-77.452948,43.212229
United States,Wisconsin,Appleton,-88.40703,44.26201
United States,Texas,Bastrop,-97.311627,30.111777
United States,Ohio,Loveland,-84.259924,39.266388
United States,New York,Alexandria Bay,-75.916118,44.331171
United States,New York,Clarence,-78.58945,42.98032
United States,Alabama,Mobile,-88.160082,30.691614
United States,New Jersey,Highlands,-73.994358,40.404837
United States,Texas,Cedar Park,-97.806683,30.469036
United States,Virginia,Forest,-79.285443,37.36437
United States,Wisconsin,Oneida,-88.202341,44.503625
United States,South Carolina,North Myrtle Beach,-78.683173,33.827655
United States,Arkansas,Jonesboro,-90.667327,35.840771
United States,Oregon,Portland,-122.6877,45.499865
United States,Iowa,Harlan,-95.338882,41.645926
United States,Connecticut,Collinsville,-72.923264,41.810819
United States,Minnesota,Bemidji,-94.880609,47.469337
United States,Montana,Butte,-112.5364,46.01269
United States,Montana,Boulder,-112.11759,46.239153
United States,California,Benicia,-122.16118,38.046215
United States,New Jersey,Barnegat,-74.221654,39.753903
United States,Michigan,Ithaca,-84.598559,43.292319
United States,Wisconsin,Madison,-89.470061,43.076159
United States,Iowa,Red Oak,-95.228044,41.009641
United States,Virginia,Halifax,-78.92836,36.76317
United States,Illinois,Crystal Lake,-88.31701,42.243752
United States,North Carolina,Greenville,-77.373338,35.611005
United States,New York,Voorheesville,-73.930027,42.649656
United States,Iowa,Waukon,-91.472878,43.260191
United States,New York,Utica,-75.225983,43.096382
United States,New York,Salamanca,-78.741263,42.164734
United States,New York,Belmont,-78.053508,42.234077
United States,California,Claremont,-117.71641,34.095598
United States,Florida,Hollywood,-80.169243,26.03026
United States,Ohio,Fremont,-83.113549,41.345408
United States,Ohio,Lakewood,-81.804266,41.484539
United States,Michigan,Northport,-85.614175,45.129668
United States,Michigan,Suttons Bay,-85.647075,44.980186
United States,Michigan,Glen Arbor,-85.986905,44.897978
United States,Michigan,Leland,-85.759459,45.022857
United States,Michigan,Empire,-86.063056,44.811224
United States,Virginia,Charlottesville,-78.44106,38.1087
United States,Maryland,Woodlawn,-76.764414,39.316055
United States,Michigan,Frankenmuth,-83.738212,43.344313
United States,California,Menlo Park,-122.1841,37.450822
United States,Massachusetts,Marshfield,-70.717317,42.098148
United States,Wisconsin,Dousman,-88.472514,43.013121
United States,North Carolina,Rocky Mount,-77.802729,35.955256
United States,Alaska,Sitka,-135.32674,57.051519
United States,Indiana,South Bend,-86.35873,41.65516
United States,Colorado,Basalt,-107.03473,39.368957
United States,Washington,Puyallup,-122.29243,47.191241
United States,Illinois,Chicago,-87.668602,41.981745
United States,Louisiana,Baton Rouge,-91.121067,30.399197
United States,Michigan,Dexter,-83.889459,42.339503
United States,Illinois,Northbrook,-87.828657,42.1314024
United States,California,Solana Beach,-117.2692,32.987194
United States,Oregon,Oswego,-122.66477,45.417855
United States,Wisconsin,Ladysmith,-91.09924,45.464998
United States,Colorado,Alamosa,-105.865,37.467321
United States,Maryland,Riverdale Park,-76.935311,38.962979
United States,North Carolina,Oxford,-78.586616,36.3148277
United States,Colorado,Loveland,-105.07865,40.387479
United States,Alabama,Montevallo,-86.862926,33.09948
United States,Kansas,Lawrence,-95.235146,38.950747
United States,Michigan,Ionia,-85.067726,42.9814841
United States,Massachusetts,Wayland,-71.369892,42.363071
United States,Indiana,Plymouth,-86.307641,41.34065
United States,South Carolina,Mount Pleasant,-79.8734,32.790718
United States,Vermont,Chelsea,-72.44747,43.98878
United States,North Dakota,Minot,-101.29559,48.233564
United States,Michigan,Saline,-83.781146,42.165956
United States,Michigan,Saline,-83.785094,42.179728
United States,South Carolina,Bluffton,-80.862568,32.234811
United States,Illinois,Hinsdale,-87.928694,41.8036543
United States,Michigan,Imlay City,-83.074322,43.02429
United States,Ohio,Athens,-82.056622,39.336038
