,listing_id,date,time,listing_name,street,city,zip_code,state,address_total,location_x,location_y,location_site,location_indoor,month,day,year,day_of_week
1,300002,2020-08-03,13:44:04,Colorado Farm and Art Market,7350 Pine Creek Road,Colorado Springs,80919,Colorado,"7350 Pine Creek Road, Colorado Springs, Colorado 80919",-104.81468,38.937716,Private business,No Indoor;,8,3,2020,Monday
2,300003,2020-08-03,9:33:29,Market in The Park,300 Conti,Mobile,36602,Alabama,"300 Conti, Mobile, Alabama 36602",-88.045015,30.69035,Local government grounds;,No Indoor;,8,3,2020,Monday
3,300004,2020-09-10,16:27:17,The Territory Farmers' Market,2000 Territory Drive,Galena,61036,Illinois,"2000 Territory Drive, Galena, Illinois 61036",-90.31353,42.404443,Private business,No Indoor;,9,10,2020,Thursday
4,300005,2021-01-26,12:51:03,City of Plymouth Farmers Market,15500 County Road 6,Plymouth,55447,Minnesota,"15500 County Road 6, Plymouth, Minnesota 55447",-93.473419,44.997274,Local government grounds;,No Indoor;,1,26,2021,Tuesday
5,300006,2020-09-10,19:12:47,Durham Farmers' Market,501 Foster Street,Durham,27701,North Carolina,"501 Foster Street, Durham, North Carolina 27701",-78.901856,36.000559,Park,No Indoor;,9,10,2020,Thursday
6,300008,2021-01-05,10:18:30,"Webster's Joe Obbie Farmers' Market, Inc.","Webster Towne Center, 1028 Ridge Road",Webster,14580,New York,"1028 Ridge Road, Webster Towne Center, Webster, New York 14580",-77.452948,43.212229,Plaza/Square/Common,No Indoor;,1,5,2021,Tuesday
7,300009,2021-01-25,12:18:55,Appleton Downtown Farm Market,100 College Avenue,Appleton,54911,Wisconsin,"100 College Avenue, Appleton, Wisconsin 54911",-88.40703,44.26201,Closed-off public street;,Part time open indoor;,1,25,2021,Monday
8,300010,2021-01-27,19:55:24,Bastrop 1832 Farmers Market,1302 Chestnut Street,Bastrop,78602,Texas,"1302 Chestnut Street, Bastrop, Texas 78602",-97.311627,30.111777,Local government grounds;,Entire time open indoor;,1,27,2021,Wednesday
9,300011,2021-01-25,14:45:24,Loveland Farmers Market,205 Broadway Street,Loveland,45140,Ohio,"205 Broadway Street, Loveland, Ohio 45140",-84.259924,39.266388,Local government grounds;,No Indoor;,1,25,2021,Monday
10,300013,2021-02-01,11:04:59,Alexandria Bay Farmers Market,Route 12,Alexandria Bay,13607,New York,"Route 12, Alexandria Bay, New York 13607",-75.916118,44.331171,Private business,No Indoor;,2,1,2021,Monday
